cohort,video_id,input_temperature_csv,input_sha256,image_dir,frames,duration_seconds,duration_source,truth_count,truth_rr_bpm,legacy_truth_rr_bpm,include_primary,reference_reliability,historical_predicted_count,cluster_id,cluster_basis,raw_source_path,exposure,roi_radius
internal73,16170075,E:\real\use_code\yoloV8\Experiment\01_同口径消融\input_snapshots\20260909_v1\inputs\internal73\16170075.csv,b0ce2f0f6f71049a5d197385ba51360b383473b4cde0c1c16ebf7c47671e03b9,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\16170075,124,14.0,frozen_window_metadata,10,42.857142857142854,43.0,True,legacy_manual,10,source_d070ccee03a2,raw_video_not_verified_cow,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163542n16170075\20230805T163542n16170075.MP4,development,20
internal73,170272,E:\real\use_code\yoloV8\Experiment\01_同口径消融\input_snapshots\20260909_v1\inputs\internal73\170272.csv,61fe64f884e1128b0ac9a7ab1bc609d6f6d0d5a0375a557601fd02dc5c05dc10,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170272,106,12.0,frozen_window_metadata,10,50.0,50.0,True,legacy_manual,10,source_a00e16b0299d,raw_video_not_verified_cow,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T162420n170272\20230805T162420n170272.MP4,development,20
internal73,170333,E:\real\use_code\yoloV8\Experiment\01_同口径消融\input_snapshots\20260909_v1\inputs\internal73\170333.csv,ffff9aad7d7b69cf94f342b9b64972ecf27679c51d73f6a3d854daa9251aec15,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170333,90,10.0,frozen_window_metadata,7,42.0,42.0,True,legacy_manual,6,source_f7578df41d28,raw_video_not_verified_cow,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T173428n170333\20230805T173428n170333.MP4,development,20
internal73,170334,E:\real\use_code\yoloV8\Experiment\01_同口径消融\input_snapshots\20260909_v1\inputs\internal73\170334.csv,7fddb716a0a9a046ebd22c465eb40807274e1ea7c002b4665b3af9870a9ee9f9,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\170334,141,16.0,frozen_window_metadata,10,37.5,38.0,True,legacy_manual,10,source_21ee784cc1b6,raw_video_not_verified_cow,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164143n170334\20230805T164143n170334.MP4,development,20
internal73,177395,E:\real\use_code\yoloV8\Experiment\01_同口径消融\input_snapshots\20260909_v1\inputs\internal73\177395.csv,a2501a57bb741358f0ab798a7033eb1e934cb90879b743d98f7dee09794d26e4,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\177395,72,8.0,frozen_window_metadata,10,75.0,75.0,True,legacy_manual,10,source_70cedf09ae50,raw_video_not_verified_cow,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T172615n177395哆嗦\20230805T172615n177395哆嗦.MP4,development,20
internal73,190546,E:\real\use_code\yoloV8\Experiment\01_同口径消融\input_snapshots\20260909_v1\inputs\internal73\190546.csv,4d502d68cd3de406783e04733150e8b20c98259077dbbe238d4a3966b8f8b4cd,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\190546,106,12.0,frozen_window_metadata,10,50.0,50.0,True,legacy_manual,9,source_a802b65daed4,raw_video_not_verified_cow,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T171734n190546\20230805T171734n190546.MP4,development,20
internal73,190588,E:\real\use_code\yoloV8\Experiment\01_同口径消融\input_snapshots\20260909_v1\inputs\internal73\190588.csv,c3a040e445ae5091c14582073df128cffcee27fe3453337fce754471bfccf208,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\190588,97,11.0,frozen_window_metadata,11,60.0,60.0,True,legacy_manual,11,source_84e533641218,raw_video_not_verified_cow,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,development,20
internal73,196434,E:\real\use_code\yoloV8\Experiment\01_同口径消融\input_snapshots\20260909_v1\inputs\internal73\196434.csv,166708a2c2c84f16c144e0d1ca290bbd2376351a332fff22d27293e04a9cbeb2,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\196434,130,15.0,frozen_window_metadata,9,36.0,36.0,True,legacy_manual,9,source_47fd3c9e5b8a,raw_video_not_verified_cow,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T173827n196434\20230805T173827n196434.MP4,development,20
internal73,200653,E:\real\use_code\yoloV8\Experiment\01_同口径消融\input_snapshots\20260909_v1\inputs\internal73\200653.csv,d2c8440542234cf77f4db9446d3317014a638ab77524324fc4a7080f1ead6f40,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\200653,113,13.0,frozen_window_metadata,10,46.15384615384615,46.0,True,legacy_manual,10,source_eeb8793404aa,raw_video_not_verified_cow,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T165553n200653\20230805T165553n200653.MP4,development,20
internal73,200713,E:\real\use_code\yoloV8\Experiment\01_同口径消融\input_snapshots\20260909_v1\inputs\internal73\200713.csv,4c347095745059aff4e8fc23bf88bc868dc0672f111ba13b0535433809a6c6b4,E:\real\use_code\yoloV8\Dataset_new\72video\al_images\200713,141,16.0,frozen_window_metadata,10,37.5,38.0,True,legacy_manual,10,source_f96c6a9f60a1,raw_video_not_verified_cow,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160920n200713\20230805T160920n200713.MP4,development,20
