window_id,prediction_status,tp,fp,fn,predicted_count,truth_count,mean_matched_time_error_seconds
16170075_anchored_30s,ok,19,8,9,27,28,0.1556303743406597
170272_anchored_30s,ok,19,6,5,25,24,0.13530038437093303
170333_anchored_30s,ok,10,8,6,18,16,0.12358929974578259
170334_anchored_30s,ok,3,19,15,22,18,0.12380306549001456
177395_anchored_30s,ok,35,1,1,36,36,0.11094076574340679
190546_anchored_30s,ok,6,16,15,22,21,0.19451719958444022
190588_anchored_30s,ok,3,0,20,3,23,0.14166493155966808
196434_anchored_30s,ok,7,7,9,14,16,0.137833485834067
200713_anchored_30s,ok,16,4,2,20,18,0.13778935185185237
200718_anchored_30s,ok,14,3,3,17,17,0.12420520231213913
210989_anchored_30s,ok,17,1,1,18,18,0.15419212786778283
211056_anchored_30s,ok,15,10,9,25,24,0.13324202066590057
211070_anchored_30s,ok,17,8,11,25,28,0.13972814208569093
ba170296_anchored_30s,ok,15,3,3,18,18,0.16630330177788089
ba177610_anchored_30s,ok,18,3,5,21,23,0.12453377135007601
ba455_anchored_30s,ok,23,7,4,30,27,0.12419948849104853
ba6516_anchored_30s,ok,18,6,4,24,22,0.10624006951659094
bs0514_anchored_30s,ok,13,2,8,15,21,0.12030237962199192
bs170227_anchored_30s,ok,15,4,4,19,19,0.13447812319426794
bs177611_anchored_30s,ok,14,4,5,18,19,0.12054687757455891
bs189556_anchored_30s,ok,4,8,9,12,13,0.1430164974619288
bs190624_anchored_30s,ok,25,2,2,27,27,0.1155441465944452
bs200673_anchored_30s,ok,32,0,1,32,33,0.07446803652968112
bs200794_anchored_30s,ok,20,9,9,29,29,0.11488571428571426
bs210974_anchored_30s,ok,11,13,17,24,28,0.1481776601776607
bs211046_anchored_30s,ok,9,4,10,13,19,0.1552908346134154
bs211063_anchored_30s,ok,29,2,3,31,32,0.13377796039509157
bs450_anchored_30s,ok,25,2,8,27,33,0.12591054761632595
bs455_anchored_30s,ok,17,5,4,22,21,0.08954016744640791
bs4717_anchored_30s,ok,25,5,5,30,30,0.07657024221453282
bs6516_anchored_30s,ok,15,4,3,19,18,0.09514595177567209
ns170082_anchored_30s,ok,27,6,2,33,29,0.09327294500042775
ns179166_anchored_30s,ok,31,3,3,34,34,0.08087965679553125
ns196527_anchored_30s,ok,23,10,10,33,33,0.1481728797392892
ns200886_anchored_30s,ok,23,6,5,29,28,0.1707320396448648
ns210947_anchored_30s,ok,6,6,18,12,24,0.1621580565805664
ns211003_anchored_30s,ok,19,3,2,22,21,0.12431968135242766
ns211095_anchored_30s,ok,9,9,14,18,23,0.17931990147404145
ns211146_anchored_30s,ok,10,3,18,13,28,0.05760260223048323
zs170236_anchored_30s,ok,24,5,6,29,30,0.121605202158383
zs170416_anchored_30s,ok,18,3,4,21,22,0.12536652028198292
zs170554_anchored_30s,ok,17,6,6,23,23,0.1504876739077372
zs190621_anchored_30s,ok,6,3,15,9,21,0.11802940159114488
zs197000_anchored_30s,ok,22,2,4,24,26,0.07783905778602927
zs200751_anchored_30s,ok,27,2,2,29,29,0.13022571871071825
zs200783_anchored_30s,ok,16,5,5,21,21,0.14496769271015
zs211062_anchored_30s,ok,10,6,6,16,16,0.12562853828306197
