cohort,analysis_set,variant,control,delta_mae_bpm,delta_mae_ci95_low,delta_mae_ci95_high,bootstrap_clusters,bootstrap_draws,bootstrap_seed,evidence_status
anchored49,all_numeric,F0G0P0,F0G0P0,0.0,0.0,0.0,49,2000,20260909,exploratory_source_cluster_CI_not_independent_test
anchored49,all_numeric,F0G0P1,F0G0P0,-1.1031098119225429,-2.2056987996510307,-0.039771000867562634,49,2000,20260909,exploratory_source_cluster_CI_not_independent_test
anchored49,all_numeric,F0G1P0,F0G0P0,0.0,0.0,0.0,49,2000,20260909,exploratory_source_cluster_CI_not_independent_test
anchored49,all_numeric,F0G1P1,F0G0P0,-1.1031098119225429,-2.2056987996510307,-0.039771000867562634,49,2000,20260909,exploratory_source_cluster_CI_not_independent_test
anchored49,all_numeric,F1G0P0,F0G0P0,-2.4106450158384614,-4.700220948148854,-0.5720645890548985,49,2000,20260909,exploratory_source_cluster_CI_not_independent_test
anchored49,all_numeric,F1G0P1,F0G0P0,-2.6558926330198784,-4.902368094058424,-0.7767236201568002,49,2000,20260909,exploratory_source_cluster_CI_not_independent_test
anchored49,all_numeric,F1G1P0,F0G0P0,-2.3698145192669835,-4.6974509354538325,-0.5300336012307223,49,2000,20260909,exploratory_source_cluster_CI_not_independent_test
anchored49,all_numeric,F1G1P1,F0G0P0,-2.6150621364484006,-4.860794007192946,-0.7338562488316502,49,2000,20260909,exploratory_source_cluster_CI_not_independent_test
anchored49,primary_completed,F0G0P0,F0G0P0,0.0,0.0,0.0,39,2000,20260909,exploratory_source_cluster_CI_not_independent_test
anchored49,primary_completed,F0G0P1,F0G0P0,-0.7701108929223874,-1.8999365412425588,0.10261102906018384,39,2000,20260909,exploratory_source_cluster_CI_not_independent_test
anchored49,primary_completed,F0G1P0,F0G0P0,0.0,0.0,0.0,39,2000,20260909,exploratory_source_cluster_CI_not_independent_test
anchored49,primary_completed,F0G1P1,F0G0P0,-0.7701108929223874,-1.8999365412425588,0.10261102906018384,39,2000,20260909,exploratory_source_cluster_CI_not_independent_test
anchored49,primary_completed,F1G0P0,F0G0P0,-1.335693267717057,-3.5942077690624834,0.10154720800739889,39,2000,20260909,exploratory_source_cluster_CI_not_independent_test
anchored49,primary_completed,F1G0P1,F0G0P0,-1.6950325010433618,-4.00614145404216,-0.15459262642905885,39,2000,20260909,exploratory_source_cluster_CI_not_independent_test
anchored49,primary_completed,F1G1P0,F0G0P0,-1.2843934130503285,-3.493796680854859,0.15304728709971172,39,2000,20260909,exploratory_source_cluster_CI_not_independent_test
anchored49,primary_completed,F1G1P1,F0G0P0,-1.6437326463766333,-3.9545184134258404,-0.10336078178037356,39,2000,20260909,exploratory_source_cluster_CI_not_independent_test
internal73,all_numeric,F0G0P0,F0G0P0,0.0,0.0,0.0,73,2000,20260909,exploratory_source_cluster_CI_not_independent_test
internal73,all_numeric,F0G0P1,F0G0P0,-2.71372577194495,-4.398765218799466,-1.40076886583736,73,2000,20260909,exploratory_source_cluster_CI_not_independent_test
internal73,all_numeric,F0G1P0,F0G0P0,0.0,0.0,0.0,73,2000,20260909,exploratory_source_cluster_CI_not_independent_test
internal73,all_numeric,F0G1P1,F0G0P0,-2.71372577194495,-4.398765218799466,-1.40076886583736,73,2000,20260909,exploratory_source_cluster_CI_not_independent_test
internal73,all_numeric,F1G0P0,F0G0P0,-1.07768487220542,-2.9513141253723445,0.3040090902248424,73,2000,20260909,exploratory_source_cluster_CI_not_independent_test
internal73,all_numeric,F1G0P1,F0G0P0,-3.818541047993103,-6.2779065968278305,-1.9377570773974888,73,2000,20260909,exploratory_source_cluster_CI_not_independent_test
internal73,all_numeric,F1G1P0,F0G0P0,-1.07768487220542,-2.9513141253723445,0.3040090902248424,73,2000,20260909,exploratory_source_cluster_CI_not_independent_test
internal73,all_numeric,F1G1P1,F0G0P0,-3.818541047993103,-6.2779065968278305,-1.9377570773974888,73,2000,20260909,exploratory_source_cluster_CI_not_independent_test
