window_id,farm,source_path,source_session,start_seconds,duration_seconds,sampling_rule,sampled_fingerprint,file_id,verified_cow_id,source_sha256,prediction_status,predicted_count,duration_seconds_prediction,method_manifest_sha256,source_sha256_prediction,reason,frame_shape,timestamp_policy_status,grid_frames,radius_min,radius_max,exponent,video_id,video_path,source_path_reference,source_start_seconds,duration_seconds_reference,annotation_round,annotator,annotation_status,manual_breath_count,event_definition,predictions_hidden,reference_notes,analysis_role,Unnamed: 14,备注,source_annotation_status,blinding_source,count_reference_role,event_reference_ready,primary_included,exclusion_reason,truth_count,truth_rr_bpm,predicted_rr_bpm
jiufu_d57a389e370ce5_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T085557-508.MP4,20240729T085557_508,0.0,30.0,first_30_seconds_predeclared_not_best_segment,334dd2f1cc3f303b79515b151c5820ad3b610a11ee3ff3eb79837b4d74528ee5,jiufu_d57a389e370ce5,508,27f37e1c2ce2fe32b0b6d82cd74002334f3dd6952c344db2d3462dc136d35016,ok,20.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,27f37e1c2ce2fe32b0b6d82cd74002334f3dd6952c344db2d3462dc136d35016,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,18.0,23.0,0.5,jiufu_d57a389e370ce5,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T085557-508.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T085557-508.MP4,0,30,R1,1,complete,20,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,20.0,40.0,40.0
jiufu_b79d91910dc17a_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T090927-681.MP4,20240729T090927_681,0.0,30.0,first_30_seconds_predeclared_not_best_segment,43cffac78006f1a3d8aa3740b91d2e45c113ff45eb4a8efbdfe7cdf36af98707,jiufu_b79d91910dc17a,681,9bec0acc6998bd40f1b5691c8abb248c16171efa3d64c64ca3570e0b99d5db8d,ok,9.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,9bec0acc6998bd40f1b5691c8abb248c16171efa3d64c64ca3570e0b99d5db8d,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,17.0,23.0,0.5,jiufu_b79d91910dc17a,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T090927-681.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T090927-681.MP4,0,30,R1,1,complete,13,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,13.0,26.0,18.0
jiufu_8db6ed7f9c3ad8_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092004-677.MP4,20240729T092004_677,0.0,30.0,first_30_seconds_predeclared_not_best_segment,b368d0ae9083d6eb7551345a02aadf7497fe2a52a0a1f64b345558b2e202e48d,jiufu_8db6ed7f9c3ad8,677,afbf6151458a4281eaeccbf9aee28873cea0550d29d55d72d4dc652f65df3223,ok,16.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,afbf6151458a4281eaeccbf9aee28873cea0550d29d55d72d4dc652f65df3223,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,16.0,21.0,0.5,jiufu_8db6ed7f9c3ad8,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092004-677.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092004-677.MP4,0,30,R1,1,complete,14,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,14.0,28.0,32.0
jiufu_35f0adf19ed368_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092858-622.MP4,20240729T092858_622,0.0,30.0,first_30_seconds_predeclared_not_best_segment,339dd0f9038ee86a57c20bc49e0a2eb87e1d91d605136fe6dc5c44ee9d3d09d1,jiufu_35f0adf19ed368,622,394d240144ce4e0c06f7cd041bbea61ff849671ef3d7247f9f4dd10968cb7509,ok,21.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,394d240144ce4e0c06f7cd041bbea61ff849671ef3d7247f9f4dd10968cb7509,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,16.0,22.0,0.5,jiufu_35f0adf19ed368,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092858-622.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092858-622.MP4,0,30,R1,1,complete,19,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,19.0,38.0,42.0
jiufu_21e342957e0fd7_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094111-1420.MP4,20240729T094111_1420,0.0,30.0,first_30_seconds_predeclared_not_best_segment,f9a2945a882b3526c1515dd8f5ebef3a166a611ff0678b71a70e96c725390436,jiufu_21e342957e0fd7,1420,0828e96939e139966ec7df7ecdfa56695278c282cb7046100bc22b2b7578ccf6,ok,22.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,0828e96939e139966ec7df7ecdfa56695278c282cb7046100bc22b2b7578ccf6,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,18.0,24.0,1.0,jiufu_21e342957e0fd7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094111-1420.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094111-1420.MP4,0,30,R1,1,complete,22,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,22.0,44.0,44.0
jiufu_c92bd308748a09_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094758-A1021154.MP4,20240729T094758_A1021154,0.0,30.0,first_30_seconds_predeclared_not_best_segment,deba295f5be79daa2eb77a03e9b7fb8f2dfc9d3f7c49244a3c5419b7b29047a3,jiufu_c92bd308748a09,A1021154,a0e7a4660e4115799d52a352c02cc825bb72209ecd243554dd08e89332f691e9,ok,15.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,a0e7a4660e4115799d52a352c02cc825bb72209ecd243554dd08e89332f691e9,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,17.0,23.0,0.5,jiufu_c92bd308748a09,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094758-A1021154.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094758-A1021154.MP4,0,30,R1,1,complete,16,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,16.0,32.0,30.0
jiufu_c95ae69597cc50_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095351-1279.MP4,20240729T095351_1279,0.0,30.0,first_30_seconds_predeclared_not_best_segment,0888629eafddf99d4e2accd3d665ccab391d7e017baf6bc2c3747cbedbafc1dc,jiufu_c95ae69597cc50,1279,494c972b666398509a34919e716c251d21b7a38d3e1d6eda9c96fedb91e0c7b5,ok,10.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,494c972b666398509a34919e716c251d21b7a38d3e1d6eda9c96fedb91e0c7b5,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,17.0,23.0,0.5,jiufu_c95ae69597cc50,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095351-1279.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095351-1279.MP4,0,30,R1,1,complete,15,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,15.0,30.0,20.0
jiufu_94796ccea127be_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095542-989.MP4,20240729T095542_989,0.0,30.0,first_30_seconds_predeclared_not_best_segment,5586da9f3aa05e73fe947ab6e4e88956d62982167ed0bdb409ac9dfb3586fc2c,jiufu_94796ccea127be,989,b1dfe6938828378d182dc18b596ebc8ab4b1657186770ee420311ff9c8f1bd46,ok,14.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,b1dfe6938828378d182dc18b596ebc8ab4b1657186770ee420311ff9c8f1bd46,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,16.0,24.0,1.0,jiufu_94796ccea127be,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095542-989.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095542-989.MP4,0,30,R1,1,complete,16,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,16.0,32.0,28.0
jiufu_3ac83315834f77_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100915-713.MP4,20240729T100915_713,0.0,30.0,first_30_seconds_predeclared_not_best_segment,b4ce7f465eba8aadd1f95af9618ef89e9c3e1cee5e5c2d946880ed9018966b6e,jiufu_3ac83315834f77,713,f1988dc6e78716128e2a929234f01793494ef096ec9669774ff5181f678be7a1,ok,7.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,f1988dc6e78716128e2a929234f01793494ef096ec9669774ff5181f678be7a1,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,16.0,22.0,0.5,jiufu_3ac83315834f77,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100915-713.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100915-713.MP4,0,30,R1,1,complete,7,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,7.0,14.0,14.0
jiufu_2e919f7b4ce7d4_first30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102206-353.MP4,20240729T102206_353,0.0,30.0,first_30_seconds_predeclared_not_best_segment,08b22c4a60f24751a1723620c3dc2abeabdcf67953a070ea964221d051a67d0c,jiufu_2e919f7b4ce7d4,353,dee598461d22c14bbf763b0a5d8f4de1f50133bdd716f9aeac3cfeecf00fbde0,ok,0.0,30.0,fb88586aaa86f425327210197065e1305b4a62418c6c11f5780c90b66e543bd0,dee598461d22c14bbf763b0a5d8f4de1f50133bdd716f9aeac3cfeecf00fbde0,,"[1440, 1080, 3]",ready_for_signal_candidate,261.0,17.0,21.0,0.5,jiufu_2e919f7b4ce7d4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102206-353.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102206-353.MP4,0,30,R1,1,complete,19,expiration_peak,true,,frozen_external_test,,,complete,2026-09-11用户更正：说错了久福牧场的隐藏了，因为久福的本来就没有标注次数，也没有预测标注。,count_only,false,True,included,19.0,38.0,0.0
