target_index,source_frame_index,sha256
0,0,33a20de4d5f8ba5bdeb0a497e5f85cb49a1c4b378fc20db46f2192380aa9648a
1,1,6676fb47c667514cccc8b52dba6da3bacb88f1a012e245f85af8594cd0f7793a
2,2,8eab4f92e3e4865c4458c150a75d2c9ced96beda42758551f88f3a5681ea8576
3,3,c69ad6176ad042a4c8eb4c532fbec9621906c87fc46b39dec560e3f0dd5f5ebd
4,4,bdd140a33e43191735dadd3894998153ad3f7bff086ed14e68603c8714687a2d
5,5,38ca03be506eab64040aa1132eb1332ef05b5b60978ffa081a4a69d55b9215ca
6,6,23f634f77c076d8ba29f20513d5b15f654ce1ea94147d0c2ef9b5feb3c2e4a0d
7,7,52f1daddfbcc88eb06f739a7d60d49efe30de651c1dc37ee93a5f5402ca378ce
8,8,46be0dea4f3cfba5d78b567dcc7fd34c477c22b674dfe82cdb863c2465b55cf2
9,9,917094ac8e4cf426ea6011f1fd7530df2ab0ceae77ba982e532477450329ad4d
10,10,93b9c00187b14f265ca05b05f26ca52bcc1b3d9ac172c8d1911486790363546a
11,11,8e6d1840b281b7f31b45fcdf3fab53f66a88f0533de6e502691ca874829aac31
12,12,26257dd96a6929afed6a1c5865f2f1088e089e7da1648c83a3c8d276e8e345e5
13,13,52c6f258a852d695a6183b78f794b49d823a177af8a102efb1d8f5283b36e02b
14,14,5d241b224383701a733318f6f6b926e47177bc6eb82a01d28e83df2cdd9c9506
15,15,399897f3a450901bae49b6fd1fb76e91d7a548b3739fd0b55a9f4d622be3671e
16,16,1675d35c715e1ad522984d982dd881e4c0a4ef96ecc4e85a49a519c859861e0b
17,17,49603a1669c3ade393400b39c18b6fc8f6f8dcd41a54fe5fdca41e41fcca5153
18,18,2b64821fa095d655f3342825ab74dc3d3ad7b12f65891eea0064aee8d137ee7c
19,19,a17d95bfa4af4bdb94991b50b597ad6df4f4e87ad987721646237103e19c51d5
20,19,a17d95bfa4af4bdb94991b50b597ad6df4f4e87ad987721646237103e19c51d5
21,21,eeadf7cdeadecae7c2096fb49fee6f825c4a0f6046c73c95019e099874730d75
22,22,664b6e19bc6b7725e89990f9e19ef684240de5db21629596f2381229cb4dde89
23,23,b35b4d880b6132cc1fc094e4969d907ecfbf1e1f8d5ac4d5d04a78bec54eb480
24,24,5ea65ac24ec2c7a91dd65ff0c28f6f562f6d12a34df43f260429f6a7baefb95e
25,25,5d23ee6a28ebbd79c6de217e26ba84004630998643c7098773a4ef3c3554bb26
26,26,51ee0b7c85038c45f0087ba042fec876a7f786b4ab3ecff96e7fbd3222717be7
27,27,f14904ffd255acc30e1d41e9512a8b1d669696d7078df2b23f86de1460930340
28,28,3a9f311c30162e0fef4d98704c6a11a2bbff500133532b80f648d5e68a0d2978
29,29,16990fe7e5945f2c59c041948615c274dde4767c00fa38cb50b4942112287dd0
30,30,189eb2ed57d835991596b35ce99a2284786517214edbd5746c2f7c2268a0aee9
31,31,7e6b98050264600fd85995953c95c7e200286860198e266b7a3e7a3171f2446a
32,32,0ef8d037c1fdbdda972ab4e05c24ed7b0646a367d13baa3b5499783f23066011
33,33,a6fec789567cb1da41963bf584c8641b24d6bce6c0e81964b2f10b9d4d023d71
34,34,a8011431d8bdfa9bbf5c8156968c4f5739973152fd839332771286f6123823be
35,35,f263481c1d77a138950d5b1bdb469b444202217bd9ac8c0d878c59ed40d13f08
36,36,641e1b5739d6611c858b5bacaf30448ef6c32054e0a017bd68cb98e2c21e9f89
37,37,216959b0cc224fab881e009a8539134a3f9a58ff964b3def5cd218abe9a6e358
38,38,4bc17b09e62d2fa84207e58ca3eaf16fe8fe1909de195e5fdb2a4a9a13c6972a
39,39,4d95fdb8517524d48c528b66b05b22b6785f34719d20f833fe48e10d2c25909e
40,40,d0e1e2ee4d88ec4ac6d3aa352901c2e0eda6aee82eada76f9cdc99f20207e601
41,41,8cc805fbaec5b61e7b52d5364442ebe2c35d1459cd3a4cd248b5e03d221bb66a
42,42,b3698aadc0160234fd170fa9b70195f529c214e745b6f4c275f3a4ed44e77c1f
43,43,6d1497493f2c0b8ee2d5fa97f032aeb5389f3a91e83c4fc575025b664c88a2c4
44,44,4571678d31564e7df7a46481994dfde75cee05351025dc0eab53092eb3f46e0f
45,45,20fb6ebca12f1a17e428dae0852a781e8b0e6cf3e030f9dd11582f6eac505fdd
46,46,954c589a7ead13e1332c479a905d133b17bc0778000ba7c977499f5b56db2cbe
47,47,4c51b5cfa54598f776766ab24e3e1f052c98b4b3c9d3557de5db773659366cb1
48,48,d88558bc4a2510c1b0636423f52671f5cdffb3ae87f0872ccef4db2f88658a9b
49,49,53423c53b934a01380a1773e01053d6435d7fec8d7ed6ca23c3604afa23992b8
50,51,11ad75b24e7124d0f65c72e0d64c8cce8db1c7778281386f0467d99692b43a2a
51,52,0a01388cc974de6ccb4b2efa0dfa3d283bb0d79c96d1fb14b1e639f285308a59
52,53,c55dd339f46ef6e8044cda3fa964437f4ec00021412741d624183cbe7a6283a7
53,54,37166ef5e02e540b3a61c08a8a9de99185423fa78cd39eb84bad5e487300d8a3
54,54,37166ef5e02e540b3a61c08a8a9de99185423fa78cd39eb84bad5e487300d8a3
55,55,3d9af0e959859b9298a20651594fb8b0ee943db1597f8dce62fee4152b583d67
56,56,ff32f1aa73be05e5f6b4ab051b1ce1b267587fd6575aca009d35689821302c65
57,57,f110715bcb95af7a931797b011460280c1711de25d2704e8724c3513307534cf
58,59,6630b1d02dd071cd8a907ff0dad5462d72fa9d00649cb2715478cd9874bec633
59,60,fa3b45ad9939e87fd6041e6ed9736f4ee5a40cf5ae7ccd6bf133b09c8e99cb83
60,60,fa3b45ad9939e87fd6041e6ed9736f4ee5a40cf5ae7ccd6bf133b09c8e99cb83
61,61,5a0debfed41ac8b4198d4104ddcb1b0a7c4321d4f9e86ae9316d45b471115059
62,62,c771c7f8f693d546eec6938c1c40f4709bafa8bf46dda80835159d93c77e31d5
63,64,1fa70cd4c21f2c19548a22a93c9c9de4a3291ce286f6b102201c66d5d8782810
64,64,1fa70cd4c21f2c19548a22a93c9c9de4a3291ce286f6b102201c66d5d8782810
65,65,2f2350cdfacee9599df833f3208a3216ca7b708ea9a9d53b595032021ecad6e6
66,67,1bfac4ff4cdf5decfbb16a44fb0abc37c8f37dd6fca98356e3160e4c9251f9ff
67,68,cfde6b37f38f10a008a08dcafb7cbc9f61b5245d9e4627a13c70a9598d3de045
68,69,b29445d63b8f3897d6cfcf1ae0abda5bcfd031972cbf5eecbc1309f8c1f66344
69,70,f9253f829468785f26c4e28f3129439aaf4745a07d338ad37106954357d6e2f5
70,70,f9253f829468785f26c4e28f3129439aaf4745a07d338ad37106954357d6e2f5
71,71,a981f4dbd3718f24f82b68a646edd0d5ed6f1556b5494453b307774d745b51d6
72,73,e72ab0f45c988784e35d5a4e98aa245cce39d0bf34704901beaec46e5ebb4129
73,74,1ea159ee903bf0e72b4de419ba03a8276211e2ac4fcd8ab4bb5ed5cacbf85a15
74,74,1ea159ee903bf0e72b4de419ba03a8276211e2ac4fcd8ab4bb5ed5cacbf85a15
75,75,110e0b4a22c3381abecbf2cf1e361cf6578aa148ae6fb30f184968efa715d741
76,77,27efc4a4accf050ce60af7e2a1e61ef5698fbabd886b8789e9a259a319046c14
77,78,cdca7381e062d72bd905a2e4a4f2b3fbf5c2519d47060360cd1191a83c0481ca
78,78,cdca7381e062d72bd905a2e4a4f2b3fbf5c2519d47060360cd1191a83c0481ca
79,79,8707bf21b4ad94c2dd2ab4c73fd9461d3b38367eca237f23b722f932c571030e
80,81,7761c47c87a8b470ca6735aaeaec30de8888955cc40742830aafd5eab3b59859
