target_index,source_frame_index,sha256
0,0,f77302ff0a1fa9f9ab715a929efd8b9010f52bf5d97a9f87fcf9b587a99c1bcb
1,1,2abd53fd662199e5afbeedb1c38405eee0e8d5e97dc4d7f8d677affcaad7488c
2,2,1f9832e0acec29531f2e79ac2fc7c1533d2a3f38da535cf4a09f8bb97d14d711
3,4,0d1dcc12007b9493adc3a8764bed55b3addaad771340a0a891c9894db0f4acb7
4,5,6d0e82115c373f8186be164074564218f06bf3119485ac6081abad5ebc48665c
5,5,6d0e82115c373f8186be164074564218f06bf3119485ac6081abad5ebc48665c
6,6,901cf436d48cea964a88c312ca404be6060bb2b77eec6f5df8d8a94f78911649
7,7,65f7a97c786aad552a3b0e6478aef4f46fc0d0cb8ab8cceb11142313b53171e7
8,8,dbee804f22dc13a098bf7e5035804afa398327172d242ef28f3607e8c311a91d
9,9,04e02fdc426db4d2a07a49cc5530ba218223e91171243f216377663adccd5e5f
10,10,83607452d444022a2337c9c79adb674cc59d9658be827adc5593c52c7d87f0f5
11,11,39fb3b5448ce774f0952455719a8b781e7fc228c8d521e0e177c2ed96f1f10df
12,13,e595d6cebb14a7869dcc2f420feb1fef0a1880d5e02575a999327b2fd64590b5
13,14,13d7adc14fe374a59ed5154a0d762925be8dca3114b9a9c5ec49298a48ff21b7
14,14,13d7adc14fe374a59ed5154a0d762925be8dca3114b9a9c5ec49298a48ff21b7
15,15,1456175f4c29739c08c3633fe9c118e0bbeb4b176ca984ea326854f62b1f0e9c
16,16,d6051f10b4bb68f208aca3da4242c172f7b5b17bcd58e2ccb2ec8384644b058a
17,17,241c55726061f30b1e4531e0306b9f66b2e2a4c9ac37d1adc017f87538a29f0b
18,19,9edb71af2415779dd21bd918372f16baec8d775d8c0752ef5396dd82db31c969
19,20,902157410184264738ce2da2fd36c02252b3b8ac328619e8eb35becb1cfe62d9
20,20,902157410184264738ce2da2fd36c02252b3b8ac328619e8eb35becb1cfe62d9
21,21,56a50792522921629e0c128f4ef61db9e57cc41726189d9be2a44a7620f802e7
22,22,abf1914240627d1d0b183e69f50a3aa181e94b63d9ec8429ede36d5bb7d4aa7f
23,23,fc956aa81eff3c6b5624c95cb7d58af241beee3175082d6a0a2ae4c35423f2ae
24,24,780b62c6bf03ce4c70174b185e4fe0a0a916326d1871ca86dbe5775390665fe4
25,25,b40ab48a38b919e026fd8bcd21fb3343cdd2b83370aed8ba2682cbab3a6eb84d
26,26,c804b8dc1a2756ef03d9a8229575d6b4981a80010f3baedcc186730bb22d9ed2
27,27,5b2249659e08edcc8efc9b6d791bca4bd9d249b6bbb702e70418a973481f4da1
28,29,cd6f6c67932833004fe285463cccecbb00253381a911e9e5c0cb9eb95d16cf89
29,30,b185a344f4363cc3255dd3c642a47a780e2475dcf78be05a9db6cfd78a0b46aa
30,30,b185a344f4363cc3255dd3c642a47a780e2475dcf78be05a9db6cfd78a0b46aa
31,32,708437518c76d15fc8aaef63980b9396a3f6fe07aa7ca05ba650e092bf5c067b
32,33,2fbc56051e1b64cc6907bea197c66c1cb611c981dfbaa59ff51e4e6e93ccdc29
33,34,be1c962437a2c918c16d1712cdf162992d538b52177bbd297c9bc6b105f49d40
34,34,be1c962437a2c918c16d1712cdf162992d538b52177bbd297c9bc6b105f49d40
35,35,659f5c016a28b3bccbb9340d1c575d5889dc4441a7a2d3c2b9301150daea3408
36,36,c35dc081535b81cf1c102935d0f216e98e339f7bf05006a51f0455202ddae350
37,38,116521bd2ef938da25309879a8b01f4b96ab002e15f37e6f2e62028a38a89266
38,39,d10990776467c62da63d4b5dab82b2951cbc2f18e3540bf70d7aaf110a30acdf
39,40,fc02a5185afee947239ef2ab0db4db92cc177763bcb48d85dd5765f103df1732
40,41,252bd6cecdff0a72fa1151530485e9339ef12cd2aea05bfbb8e1959f38906add
