thermal_file_id,thermal_path,rgb_file_id,rgb_path,filename_clock_difference_seconds,same_cow_verified,synchronization_offset_seconds,synchronization_status
jiufu_336c6a37c1e8bf,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T084330-1479.MP4,jiufu_cc628fc2d986f7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\RGB\VID_20240729_084335.mp4,5.0,,,candidate_only_not_verified
jiufu_3daca4f99093f5,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T084508-1285.MP4,jiufu_e3ddca17022e8e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\RGB\VID_20240729_084537.mp4,29.0,,,candidate_only_not_verified
jiufu_aed96a8cd6dde3,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T084843-A1022198.MP4,jiufu_eee146cb1d3dc1,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\RGB\VID_20240729_084916.mp4,33.0,,,candidate_only_not_verified
jiufu_c52b8a375d3e11,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T085107-1600.MP4,jiufu_a7da83895a9448,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\RGB\VID_20240729_085125.mp4,18.0,,,candidate_only_not_verified
jiufu_e6b17e79b0b593,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T085342-1568.MP4,jiufu_9f25b08edabb44,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\RGB\VID_20240729_085348.mp4,6.0,,,candidate_only_not_verified
jiufu_d57a389e370ce5,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T085557-508.MP4,jiufu_dfde654c9d9b02,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\RGB\VID_20240729_085601.mp4,4.0,,,candidate_only_not_verified
jiufu_c3e3a442b21394,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T085753-100.MP4,jiufu_29d38d1b966346,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\RGB\VID_20240729_085759.mp4,6.0,,,candidate_only_not_verified
jiufu_4dc4f1ecb57fa5,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T090140-903.MP4,jiufu_75e7b28defdb5b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\RGB\VID_20240729_090147.mp4,7.0,,,candidate_only_not_verified
jiufu_4dc4f1ecb57fa5,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T090140-903.MP4,jiufu_1c7dc48013f63b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\RGB\VID_20240729_090235.mp4,55.0,,,candidate_only_not_verified
jiufu_d34b67b3b4cc6c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T090228-638.MP4,jiufu_75e7b28defdb5b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\RGB\VID_20240729_090147.mp4,-41.0,,,candidate_only_not_verified
jiufu_d34b67b3b4cc6c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T090228-638.MP4,jiufu_1c7dc48013f63b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\RGB\VID_20240729_090235.mp4,7.0,,,candidate_only_not_verified
jiufu_b79d91910dc17a,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T090927-681.MP4,jiufu_55e1e6c71570f9,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\RGB\VID_20240729_090934.mp4,7.0,,,candidate_only_not_verified
jiufu_d31bd7d7642ce6,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T091138-921.MP4,jiufu_e7952a307522ea,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\RGB\VID_20240729_091144.mp4,6.0,,,candidate_only_not_verified
jiufu_8db6ed7f9c3ad8,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092004-677.MP4,jiufu_679db77170e390,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\RGB\VID_20240729_092013.mp4,9.0,,,candidate_only_not_verified
jiufu_8a93efdf555173,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092254-844.MP4,jiufu_69ce4b15414363,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\RGB\VID_20240729_092311.mp4,17.0,,,candidate_only_not_verified
