window_id,mode,score
jiufu_336c6a37c1e8bf_first30,mean,0.04599514653304262
jiufu_336c6a37c1e8bf_first30,max,0.09619401076116534
jiufu_336c6a37c1e8bf_first30,min,0.044106659978648266
jiufu_336c6a37c1e8bf_first30,left,0.03469324705795048
jiufu_336c6a37c1e8bf_first30,right,0.056913969242604945
jiufu_3daca4f99093f5_first30,mean,0.051292716221913656
jiufu_3daca4f99093f5_first30,max,0.10255502297834862
jiufu_3daca4f99093f5_first30,min,0.039348901522941744
jiufu_3daca4f99093f5_first30,left,0.06523365069815686
jiufu_3daca4f99093f5_first30,right,0.065171421005504
jiufu_aed96a8cd6dde3_first30,mean,0.3392910339149663
jiufu_aed96a8cd6dde3_first30,max,0.29837020303336637
jiufu_aed96a8cd6dde3_first30,min,0.27853388834126724
jiufu_aed96a8cd6dde3_first30,left,0.28105048827089957
jiufu_aed96a8cd6dde3_first30,right,0.22482016285182554
jiufu_d57a389e370ce5_first30,mean,0.15449657906157147
jiufu_d57a389e370ce5_first30,max,0.21253722526118443
jiufu_d57a389e370ce5_first30,min,0.11100429132975194
jiufu_d57a389e370ce5_first30,left,0.06584595704714734
jiufu_d57a389e370ce5_first30,right,0.15542793239768235
jiufu_c3e3a442b21394_first30,mean,0.1256585338052852
jiufu_c3e3a442b21394_first30,max,0.1510480803979329
jiufu_c3e3a442b21394_first30,min,0.07408067999481732
jiufu_c3e3a442b21394_first30,left,0.07810956272741239
jiufu_c3e3a442b21394_first30,right,0.16142268228025008
jiufu_b79d91910dc17a_first30,mean,0.07139696289047141
jiufu_b79d91910dc17a_first30,max,0.06915299765147374
jiufu_b79d91910dc17a_first30,min,0.08023007108464336
jiufu_b79d91910dc17a_first30,left,0.04773092823302262
jiufu_b79d91910dc17a_first30,right,0.07944676478079037
jiufu_8db6ed7f9c3ad8_first30,mean,0.08748858472491783
jiufu_8db6ed7f9c3ad8_first30,max,0.06924489497323597
jiufu_8db6ed7f9c3ad8_first30,min,0.08685185975094872
jiufu_8db6ed7f9c3ad8_first30,left,0.04614940005289376
jiufu_8db6ed7f9c3ad8_first30,right,0.09967642593065722
jiufu_8a93efdf555173_first30,mean,0.08694365480453585
jiufu_8a93efdf555173_first30,max,0.053123456632640675
jiufu_8a93efdf555173_first30,min,0.07617730802881763
jiufu_8a93efdf555173_first30,left,0.05459423462203451
jiufu_8a93efdf555173_first30,right,0.07700766809943091
jiufu_75a484b3f5253b_first30,mean,0.08847851983643586
jiufu_75a484b3f5253b_first30,max,0.059815026949375606
jiufu_75a484b3f5253b_first30,min,0.09761725381293121
jiufu_75a484b3f5253b_first30,left,0.041094595193108985
jiufu_75a484b3f5253b_first30,right,0.10757619291948167
jiufu_35f0adf19ed368_first30,mean,0.19657613050662318
jiufu_35f0adf19ed368_first30,max,0.22481544351497307
jiufu_35f0adf19ed368_first30,min,0.13892851613138762
jiufu_35f0adf19ed368_first30,left,0.13052738969653438
jiufu_35f0adf19ed368_first30,right,0.15564318326659
jiufu_21e342957e0fd7_first30,mean,0.22849839253426538
jiufu_21e342957e0fd7_first30,max,0.13297555252055612
jiufu_21e342957e0fd7_first30,min,0.21783117055103454
