cohort,window_id,cluster,variant,base_tp,base_fp,base_fn,count_status,tp,fp,fn,precision,recall,f1
lindian49,16170075_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163542n16170075\20230805T163542n16170075.MP4,local_event_guard,18,9,10,partial_events_no_full_RR,17,8,11,0.68,0.6071428571428571,0.6415094339622641
lindian49,16170075_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163542n16170075\20230805T163542n16170075.MP4,whole_window_guard,18,9,10,partial_events_no_full_RR,0,0,28,0.0,0.0,0.0
lindian49,170272_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T162420n170272\20230805T162420n170272.MP4,local_event_guard,19,7,5,complete_output,19,7,5,0.7307692307692307,0.7916666666666666,0.76
lindian49,170272_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T162420n170272\20230805T162420n170272.MP4,whole_window_guard,19,7,5,complete_output,19,7,5,0.7307692307692307,0.7916666666666666,0.76
lindian49,170333_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T173428n170333\20230805T173428n170333.MP4,local_event_guard,10,8,6,partial_events_no_full_RR,10,6,6,0.625,0.625,0.625
lindian49,170333_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T173428n170333\20230805T173428n170333.MP4,whole_window_guard,10,8,6,partial_events_no_full_RR,0,0,16,0.0,0.0,0.0
lindian49,170334_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164143n170334\20230805T164143n170334.MP4,local_event_guard,5,13,13,complete_output,5,13,13,0.2777777777777778,0.2777777777777778,0.2777777777777778
lindian49,170334_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164143n170334\20230805T164143n170334.MP4,whole_window_guard,5,13,13,complete_output,5,13,13,0.2777777777777778,0.2777777777777778,0.2777777777777778
lindian49,177395_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T172615n177395哆嗦\20230805T172615n177395哆嗦.MP4,local_event_guard,34,1,2,complete_output,34,1,2,0.9714285714285714,0.9444444444444444,0.9577464788732394
lindian49,177395_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T172615n177395哆嗦\20230805T172615n177395哆嗦.MP4,whole_window_guard,34,1,2,complete_output,34,1,2,0.9714285714285714,0.9444444444444444,0.9577464788732394
lindian49,190546_anchored_30s,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T171734n190546\20230805T171734n190546.MP4,local_event_guard,7,16,14,complete_output,7,16,14,0.30434782608695654,0.3333333333333333,0.3181818181818182
