cohort,method,window_id,tp,fp,fn,precision,recall,f1
R2_complete216,original,jiufu_aed96a8cd6dde3_first30,2,7,9,0.2222222222222222,0.18181818181818182,0.2
R2_complete216,original,jiufu_d57a389e370ce5_first30,15,5,5,0.75,0.75,0.75
R2_complete216,original,jiufu_b79d91910dc17a_first30,2,7,11,0.2222222222222222,0.15384615384615385,0.18181818181818182
R2_complete216,original,jiufu_d31bd7d7642ce6_first30,0,0,11,0.0,0.0,0.0
R2_complete216,original,jiufu_73db0107967f0e_first30,0,0,5,0.0,0.0,0.0
R2_complete216,original,jiufu_8db6ed7f9c3ad8_first30,7,9,5,0.4375,0.5833333333333334,0.5
R2_complete216,original,jiufu_75a484b3f5253b_first30,5,5,2,0.5,0.7142857142857143,0.5882352941176471
R2_complete216,original,jiufu_35f0adf19ed368_first30,16,5,4,0.7619047619047619,0.8,0.7804878048780488
R2_complete216,original,jiufu_7045c3900be0cc_first30,0,0,9,0.0,0.0,0.0
R2_complete216,original,jiufu_21e342957e0fd7_first30,22,0,2,1.0,0.9166666666666666,0.9565217391304348
R2_complete216,original,jiufu_36ee658c295629_first30,0,0,13,0.0,0.0,0.0
R2_complete216,original,jiufu_c92bd308748a09_first30,8,7,9,0.5333333333333333,0.47058823529411764,0.5
R2_complete216,original,jiufu_551d99f2e9c264_first30,4,8,11,0.3333333333333333,0.26666666666666666,0.2962962962962963
R2_complete216,original,jiufu_c95ae69597cc50_first30,8,2,5,0.8,0.6153846153846154,0.6956521739130435
R2_complete216,original,jiufu_94796ccea127be_first30,9,5,4,0.6428571428571429,0.6923076923076923,0.6666666666666666
R2_complete216,original,jiufu_56e83ecf9a14bb_first30,0,0,14,0.0,0.0,0.0
R2_complete216,original,jiufu_3ac83315834f77_first30,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285
R2_complete216,original,jiufu_c68c62cb67dede_first30,3,10,7,0.23076923076923078,0.3,0.2608695652173913
R2_complete216,original,jiufu_3721f7cf5a844c_first30,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
R2_complete216,original,jiufu_65b745e540b8c7_first30,7,5,4,0.5833333333333334,0.6363636363636364,0.6086956521739131
R2_complete216,original,jiufu_2e919f7b4ce7d4_first30,0,0,18,0.0,0.0,0.0
R2_complete216,original,jiufu_f7266533e3399d_first30,15,2,2,0.8823529411764706,0.8823529411764706,0.8823529411764706
R2_complete216,original,jiufu_943fc8675c704c_first30,0,0,9,0.0,0.0,0.0
R2_complete216,original,jiufu_bd77cfa7950eaa_first30,7,8,8,0.4666666666666667,0.4666666666666667,0.4666666666666667
R2_complete216,original,jiufu_2aaced556ff39d_first30,0,0,8,0.0,0.0,0.0
R2_complete216,original,jiufu_90ed4ac916a295_first30,2,2,20,0.5,0.09090909090909091,0.15384615384615385
R2_complete216,original,jiufu_cd5eea76388f30_first30,6,5,8,0.5454545454545454,0.42857142857142855,0.48
R2_complete216,original,jiufu_6cbcb0311b3ebf_first30,7,10,7,0.4117647058823529,0.5,0.45161290322580644
R2_complete216,original,jiufu_4f7144680fca9d_first30,0,0,18,0.0,0.0,0.0
R2_complete216,original,jiufu_6a641dd078f572_first30,10,7,10,0.5882352941176471,0.5,0.5405405405405406
R2_complete216,original,jiufu_edd9eebe6de991_first30,11,9,8,0.55,0.5789473684210527,0.5641025641025641
R2_complete216,original,jiufu_58c38973aff558_first30,6,8,4,0.42857142857142855,0.6,0.5
R2_complete216,original,jiufu_665326590feedb_first30,3,5,13,0.375,0.1875,0.25
R2_complete216,original,jiufu_053d6bd561c20b_first30,0,0,15,0.0,0.0,0.0
R2_complete216,original,jiufu_9a14e05c1c184c_first30,0,0,14,0.0,0.0,0.0
R2_complete216,original,jiufu_124bf365605cd6_first30,7,3,10,0.7,0.4117647058823529,0.5185185185185185
R2_complete216,original,jiufu_cc565ea0bfa396_first30,9,8,6,0.5294117647058824,0.6,0.5625
R2_complete216,original,jiufu_0a14da4ad52431_first30,9,8,9,0.5294117647058824,0.5,0.5142857142857142
R2_complete216,original,jiufu_abada3dda3e8b7_first30,12,4,6,0.75,0.6666666666666666,0.7058823529411765
R2_complete216,original,jiufu_0ef3b83bc00130_first30,9,7,8,0.5625,0.5294117647058824,0.5454545454545454
R2_complete216,original,jiufu_c5ff3e35124405_first30,0,0,10,0.0,0.0,0.0
R2_complete216,original,jiufu_a6ed80c55f7be6_first30,1,5,2,0.16666666666666666,0.3333333333333333,0.2222222222222222
R2_complete216,original,jiufu_6fa0bbd661c8bb_first30,10,5,9,0.6666666666666666,0.5263157894736842,0.5882352941176471
R2_complete216,original,jiufu_9eb853207f9233_first30,4,10,9,0.2857142857142857,0.3076923076923077,0.2962962962962963
R2_complete216,original,jiufu_494e84a71f0d53_first30,3,2,1,0.6,0.75,0.6666666666666666
R2_complete216,original,jiufu_8953d49083882b_first30,18,7,6,0.72,0.75,0.7346938775510204
R2_complete216,original,jiufu_577eb87b4ec0fa_first30,6,10,8,0.375,0.42857142857142855,0.4
R2_complete216,original,jiufu_ac7d209f2a6aec_first30,5,2,1,0.7142857142857143,0.8333333333333334,0.7692307692307693
R2_complete216,original,jiufu_f0f7415c6e495e_first30,0,0,22,0.0,0.0,0.0
R2_complete216,original,jiufu_45e262858c1edf_first30,10,3,10,0.7692307692307693,0.5,0.6060606060606061
R2_complete216,original,jiufu_59f7f9462f2c30_first30,7,10,12,0.4117647058823529,0.3684210526315789,0.3888888888888889
R2_complete216,original,jiufu_6454a9e613172b_first30,20,5,3,0.8,0.8695652173913043,0.8333333333333334
R2_complete216,original,jiufu_6328167f32f25e_first30,0,0,13,0.0,0.0,0.0
R2_complete216,original,jiufu_80fa8dbe195b66_first30,14,4,8,0.7777777777777778,0.6363636363636364,0.7
R2_complete216,original,jiufu_012d9efb7d8d4c_first30,4,6,15,0.4,0.21052631578947367,0.27586206896551724
R2_complete216,original,jiufu_5623dc263f1364_first30,8,6,4,0.5714285714285714,0.6666666666666666,0.6153846153846154
