cohort,method,window_id,truth_rr,predicted_rr,truth_count,predicted_count
R2_complete216,original,jiufu_aed96a8cd6dde3_first30,22.0,18.0,11,9
R2_complete216,original,jiufu_d57a389e370ce5_first30,40.0,40.0,20,20
R2_complete216,original,jiufu_b79d91910dc17a_first30,26.0,18.0,13,9
R2_complete216,original,jiufu_8db6ed7f9c3ad8_first30,24.0,32.0,12,16
R2_complete216,original,jiufu_75a484b3f5253b_first30,14.0,20.0,7,10
R2_complete216,original,jiufu_35f0adf19ed368_first30,40.0,42.0,20,21
R2_complete216,original,jiufu_21e342957e0fd7_first30,48.0,44.0,24,22
R2_complete216,original,jiufu_c92bd308748a09_first30,34.0,30.0,17,15
R2_complete216,original,jiufu_551d99f2e9c264_first30,30.0,24.0,15,12
R2_complete216,original,jiufu_c95ae69597cc50_first30,26.0,20.0,13,10
R2_complete216,original,jiufu_94796ccea127be_first30,26.0,28.0,13,14
R2_complete216,original,jiufu_3ac83315834f77_first30,14.0,14.0,7,7
R2_complete216,original,jiufu_c68c62cb67dede_first30,20.0,26.0,10,13
R2_complete216,original,jiufu_3721f7cf5a844c_first30,12.0,12.0,6,6
R2_complete216,original,jiufu_65b745e540b8c7_first30,22.0,24.0,11,12
R2_complete216,original,jiufu_2e919f7b4ce7d4_first30,36.0,0.0,18,0
R2_complete216,original,jiufu_f7266533e3399d_first30,34.0,34.0,17,17
R2_complete216,original,jiufu_bd77cfa7950eaa_first30,30.0,30.0,15,15
R2_complete216,original,jiufu_90ed4ac916a295_first30,44.0,8.0,22,4
R2_complete216,original,jiufu_cd5eea76388f30_first30,28.0,22.0,14,11
R2_complete216,original,jiufu_6cbcb0311b3ebf_first30,28.0,34.0,14,17
R2_complete216,original,jiufu_6a641dd078f572_first30,40.0,34.0,20,17
R2_complete216,original,jiufu_edd9eebe6de991_first30,38.0,40.0,19,20
R2_complete216,original,jiufu_58c38973aff558_first30,20.0,28.0,10,14
R2_complete216,original,jiufu_665326590feedb_first30,32.0,16.0,16,8
R2_complete216,original,jiufu_124bf365605cd6_first30,34.0,20.0,17,10
R2_complete216,original,jiufu_cc565ea0bfa396_first30,30.0,34.0,15,17
R2_complete216,original,jiufu_0a14da4ad52431_first30,36.0,34.0,18,17
R2_complete216,original,jiufu_abada3dda3e8b7_first30,36.0,32.0,18,16
R2_complete216,original,jiufu_0ef3b83bc00130_first30,34.0,32.0,17,16
R2_complete216,original,jiufu_a6ed80c55f7be6_first30,6.0,12.0,3,6
R2_complete216,original,jiufu_6fa0bbd661c8bb_first30,38.0,30.0,19,15
R2_complete216,original,jiufu_9eb853207f9233_first30,26.0,28.0,13,14
R2_complete216,original,jiufu_494e84a71f0d53_first30,8.0,10.0,4,5
R2_complete216,original,jiufu_8953d49083882b_first30,48.0,50.0,24,25
