frame_id,window_id,cow_id,heldout_fold,visibility,region_count,image_sha256
R3-01_t00,jiufu_bb78a10aeab6d5_first30,1414,1,two_visible,2,ff5c4560f34b6a7ee0456815ec3ec037158185f36f346fa036bf2924a719baa5
R3-01_t10,jiufu_bb78a10aeab6d5_first30,1414,1,one_visible,1,49c330bc7df52ccd2bcc25cddffe2bf501197a37ba40d45bfb603528c8baf650
R3-01_t20,jiufu_bb78a10aeab6d5_first30,1414,1,one_visible,1,3b5165e4277e528dda06cac7ceec47a215002d9d26a2c30a08ad3a30fed5ab4e
R3-02_t00,jiufu_7cb985938d0a6a_first30,659,0,two_visible,2,828c5acf5f690c91ced2a3fcd65bab2cdc1f5f1830c2c410d73e9a085bb30561
R3-02_t10,jiufu_7cb985938d0a6a_first30,659,0,two_visible,2,075c3759ba252594302d7264b3b3e60545107c694a7f68384a2d8b05b084fdd9
R3-02_t20,jiufu_7cb985938d0a6a_first30,659,0,two_visible,2,352ef079ed9033d8b114b5745fec56c418a21a0e8d6326aebe701c0a5289272e
R3-03_t00,jiufu_2aaced556ff39d_first30,957,2,one_visible,1,fc9942ae6b7690db5779b710065da6dea21c2b758b9527d5a1defe47642ef2c7
R3-03_t10,jiufu_2aaced556ff39d_first30,957,2,not_visible,0,fb682667c1389198a4f81adf3f1f99b1b2a93f0c71d4e791d819ce92d1bdcb2b
R3-03_t20,jiufu_2aaced556ff39d_first30,957,2,two_visible,2,04f1ec13c6f5644fe098c9c6676521225c0c8b8e0a047c49cb99c8c63c720f56
R3-05_t00,jiufu_0d1522aef374ec_first30,A1022205,1,two_visible,2,c4b81310d259e1f84b849f1ccd3b4e757f30f61e0468756d837ea3bdb25fa54e
R3-05_t10,jiufu_0d1522aef374ec_first30,A1022205,1,one_visible,1,296564d86e2940a4002d22bad48f47dfda502dd5e1ff87090ca119abc7bd216f
R3-05_t20,jiufu_0d1522aef374ec_first30,A1022205,1,one_visible,1,295de5c421779e6e55767748b393455f5f2cb17be84035df8e84ff07f44ab79c
R3-06_t00,jiufu_6328167f32f25e_first30,1371,0,two_visible,2,8145bf01363014d5bdf47e840e034ed2527a976ab80353e6afcba06eec4b3f34
R3-06_t10,jiufu_6328167f32f25e_first30,1371,0,two_visible,2,3838ebb701c7ddeff541b42d52ac071e1dc68a1dc16c39946b4d25c01b926ffa
R3-06_t20,jiufu_6328167f32f25e_first30,1371,0,one_visible,1,4938140a1b0c99a7ed0108b1d0c661c9a98de942fc950667598ee9b75c8e0e61
R3-09_t00,jiufu_440a29cebcae1c_first30,1487,2,two_visible,2,166096c70d8ce55080482c7608669c09fa607d0e328ff05c7570e880cc2089c1
R3-09_t10,jiufu_440a29cebcae1c_first30,1487,2,two_visible,2,9ef4b7fcbeec80b8620d93cde11dd679349529f74a2446d9ddf0974ad16e6d8d
R3-09_t20,jiufu_440a29cebcae1c_first30,1487,2,two_visible,2,e9db2ed1d17d208f6edccfac0af68ec06a222badfd93e240ca57b7c522a8c08d
R3-10_t00,jiufu_f920435ef76ec4_first30,1428,2,two_visible,2,7bd08db9c7858870edde65b60ec75f00f8a3e4a004c4f19be63fbc6999731ecc
R3-10_t10,jiufu_f920435ef76ec4_first30,1428,2,not_visible,0,86ff2d49aafdb12754a6a888e62f633f819a19c872623a320f62a535ed80c6b4
R3-10_t20,jiufu_f920435ef76ec4_first30,1428,2,two_visible,2,d4071c8f0e2dad7f6f8bdc0c1acb77a1dd12aad14371971156cd12b1767d19dc
R3-11_t00,jiufu_13f838ff73e069_first30,683,1,two_visible,2,34ff71816692a40b3a2d397217102ce1bf6b067d79a403b67bdb91fda6236767
R3-11_t10,jiufu_13f838ff73e069_first30,683,1,not_visible,0,a61d68a697665971068c1049754df6e5b27a6431e31bbca23df2366666287962
R3-11_t20,jiufu_13f838ff73e069_first30,683,1,not_visible,0,2c75e3795c761affa1b580330171b2c40f35e3c7b8b08d71f7e4890badc6b5e2
R3-14_t00,jiufu_4f7144680fca9d_first30,583,1,two_visible,2,4c830d877383e41bf506314269d0cc16eb55b8890f5031946d1b0482ed4635cf
R3-14_t10,jiufu_4f7144680fca9d_first30,583,1,two_visible,2,355ed7357e7c773c3fcaf170a18ce494d72e3d7fb949afc145517f2bdb692d06
R3-14_t20,jiufu_4f7144680fca9d_first30,583,1,two_visible,2,849bc26c6ac5c3dbd55cf5d8ffa3a74c0534ff406a483210fdb348b48189a247
R3-22_t00,jiufu_bd77cfa7950eaa_first30,743,2,not_visible,0,273056b483920000092515bfb0f138fe393090c7ef382745bc3638a7cd4c2051
R3-22_t10,jiufu_bd77cfa7950eaa_first30,743,2,one_visible,1,4b0fb7c79751219a6682fa06c2976180036d3cd23ffd2ad2daec15252018a17a
R3-22_t20,jiufu_bd77cfa7950eaa_first30,743,2,two_visible,2,52e3ea6eb1de7f294c3c5376368b3e9e33b57fcc1a6ac59e3a98e3ee3ed86996
R3-23_t00,jiufu_cc60214ff2d564_first30,1308,0,two_visible,2,67a42ae8fe3c6cf1429d62025ef913277e0a2ac9ef69ddbc48405936a0d3fb0f
R3-23_t10,jiufu_cc60214ff2d564_first30,1308,0,not_visible,0,839c7a74a0d0ccc1552e835e8a196ac3b01a78de782f56c451b809c3bbc34f20
R3-23_t20,jiufu_cc60214ff2d564_first30,1308,0,one_visible,1,59f5901756bd6d410905352f974a090e639e9fca1291bdb6bbeb574a00e14b77
R3-24_t00,jiufu_55441b4c6fe974_first30,1129,0,one_visible,1,bc17ae1c4b9ab55576db7c22c48e9d7cd638e74194e73c4d366e598718f3171c
R3-24_t10,jiufu_55441b4c6fe974_first30,1129,0,two_visible,2,fa89f692073895f9c305ec9213e584262ca2d4187e26bee9b46412ea756d4407
R3-24_t20,jiufu_55441b4c6fe974_first30,1129,0,one_visible,1,6c9404c0aceee3d5db3903403f16d04ff0c14880c3b233f08fe7433b402eee83
