video_group,frames,decoded,max_coordinate_difference
16170075,42,42,15.29643129099072
170272,36,31,10.191841890453382
170333,30,22,28.839196329995
170334,47,39,25.79990796882812
177395,24,0,16.1277403996964
190546,36,1,21.626318458766782
190588,33,0,16.031169659135916
196434,44,0,37.575587958141135
200653,38,34,15.653549900262226
200713,47,47,23.77280875285879
200718,47,47,24.326973135184716
200937,30,30,14.001600965603837
200939,24,24,20.619021435558025
210944,21,21,23.348593379473666
210989,47,47,12.087614580222187
210994,30,20,14.560055785607364
211040,30,30,23.53018601541434
211049,18,18,19.211121982851395
211056,39,39,19.24104053735144
211070,30,30,22.822131013557904
ba170296,36,34,29.00307590032472
ba177610,38,38,24.410030947952514
ba455,30,30,14.134498941243006
ba6516,24,24,18.38512511787719
bs0514,47,36,32.57277407406375
bs1479,27,13,43.57152359052882
bs170227,44,44,56.03947212456592
bs177611,44,0,25.79520242402449
bs189556,59,0,28.40103810875488
bs190624,21,21,33.245583867936496
bs190625,39,39,21.21292159038915
bs196399,33,27,26.911083649678663
bs200673,24,23,15.136552886308143
bs200723,44,0,40.1585861743164
bs200794,30,30,21.017270250915097
bs210974,27,25,39.962523155576676
bs210984,27,27,29.678302034988445
bs211046,38,35,31.01273373825661
bs211063,34,34,14.865046728483616
bs3015,30,30,25.49776477105403
bs450,24,24,15.814424605403685
bs455,36,25,23.085095149901285
bs4717,27,27,16.645192670558096
bs6516,32,32,19.849918037110374
ns153017,30,6,37.69184557964749
ns170082,27,27,17.20172114644336
ns179166,24,22,29.736119719963433
ns196527,28,28,19.240000615384606
ns200886,33,17,36.419177207901726
ns210947,39,37,20.398196253590708
ns211003,39,39,19.24195529357656
ns211013,21,15,21.09407507334697
ns211030,39,39,28.6312840368713
ns211095,33,28,28.162230300883483
ns211117,27,27,38.41499737133924
ns211146,27,27,37.693034129929146
ns211154,39,39,28.02420458104034
ns5364,30,8,22.020554212825814
zs16110159,41,24,27.725137209398994
zs16110577,24,24,21.3760063809871
zs170053,38,38,26.56618947459345
zs170065,39,5,26.732092982594143
zs170236,36,34,32.3906407124033
zs170416,41,2,46.611414799827855
zs170419,48,33,31.77529900787715
zs170554,38,0,22.98971350438486
zs179187,44,37,24.21108921795959
zs190621,30,17,42.61508826839619
zs197000,36,25,21.718869421163024
zs200751,29,26,32.56461966490626
zs200783,47,45,24.15993463567317
zs200796,36,11,22.46930402126427
zs211062,47,35,34.93243786969353
