cohort,method,window_id,truth_rr,predicted_rr
R3_full11,original_pipeline,jiufu_7cb985938d0a6a_first30,26.0,24.0
R3_full11,frozen_direct,jiufu_7cb985938d0a6a_first30,26.0,28.0
R3_full11,unfrozen_direct,jiufu_7cb985938d0a6a_first30,26.0,28.0
R3_full11,original_pipeline,jiufu_0d1522aef374ec_first30,30.0,28.0
R3_full11,frozen_direct,jiufu_0d1522aef374ec_first30,30.0,20.0
R3_full11,unfrozen_direct,jiufu_0d1522aef374ec_first30,30.0,24.0
R3_full11,original_pipeline,jiufu_440a29cebcae1c_first30,24.0,22.0
R3_full11,frozen_direct,jiufu_440a29cebcae1c_first30,24.0,24.0
R3_full11,unfrozen_direct,jiufu_440a29cebcae1c_first30,24.0,24.0
R3_full11,original_pipeline,jiufu_f920435ef76ec4_first30,20.0,16.0
R3_full11,frozen_direct,jiufu_f920435ef76ec4_first30,20.0,20.0
R3_full11,unfrozen_direct,jiufu_f920435ef76ec4_first30,20.0,18.0
R3_full11,original_pipeline,jiufu_bd77cfa7950eaa_first30,28.0,30.0
R3_full11,frozen_direct,jiufu_bd77cfa7950eaa_first30,28.0,34.0
R3_full11,unfrozen_direct,jiufu_bd77cfa7950eaa_first30,28.0,36.0
R3_full11,original_pipeline,jiufu_cc60214ff2d564_first30,20.0,20.0
R3_full11,frozen_direct,jiufu_cc60214ff2d564_first30,20.0,26.0
R3_full11,unfrozen_direct,jiufu_cc60214ff2d564_first30,20.0,28.0
R3_full11,original_pipeline,jiufu_55441b4c6fe974_first30,20.0,26.0
R3_full11,frozen_direct,jiufu_55441b4c6fe974_first30,20.0,24.0
R3_full11,unfrozen_direct,jiufu_55441b4c6fe974_first30,20.0,26.0
R3_strict9,original_pipeline,jiufu_7cb985938d0a6a_first30,26.0,24.0
R3_strict9,frozen_direct,jiufu_7cb985938d0a6a_first30,26.0,28.0
R3_strict9,unfrozen_direct,jiufu_7cb985938d0a6a_first30,26.0,28.0
R3_strict9,original_pipeline,jiufu_0d1522aef374ec_first30,30.0,28.0
R3_strict9,frozen_direct,jiufu_0d1522aef374ec_first30,30.0,20.0
R3_strict9,unfrozen_direct,jiufu_0d1522aef374ec_first30,30.0,24.0
R3_strict9,original_pipeline,jiufu_440a29cebcae1c_first30,24.0,22.0
R3_strict9,frozen_direct,jiufu_440a29cebcae1c_first30,24.0,24.0
R3_strict9,unfrozen_direct,jiufu_440a29cebcae1c_first30,24.0,24.0
R3_strict9,original_pipeline,jiufu_f920435ef76ec4_first30,20.0,16.0
R3_strict9,frozen_direct,jiufu_f920435ef76ec4_first30,20.0,20.0
R3_strict9,unfrozen_direct,jiufu_f920435ef76ec4_first30,20.0,18.0
R3_strict9,original_pipeline,jiufu_cc60214ff2d564_first30,20.0,20.0
R3_strict9,frozen_direct,jiufu_cc60214ff2d564_first30,20.0,26.0
R3_strict9,unfrozen_direct,jiufu_cc60214ff2d564_first30,20.0,28.0
R3_strict9,original_pipeline,jiufu_55441b4c6fe974_first30,20.0,26.0
R3_strict9,frozen_direct,jiufu_55441b4c6fe974_first30,20.0,24.0
R3_strict9,unfrozen_direct,jiufu_55441b4c6fe974_first30,20.0,26.0
