review_id,window_id,side,kind,strict_visible_phase,tp,fp,fn,precision,recall,f1
R3-01,jiufu_bb78a10aeab6d5_first30,left,maximum,True,0,0,16,0.0,0.0,0.0
R3-01,jiufu_bb78a10aeab6d5_first30,left,minimum,True,0,0,16,0.0,0.0,0.0
R3-01,jiufu_bb78a10aeab6d5_first30,right,maximum,True,0,0,16,0.0,0.0,0.0
R3-01,jiufu_bb78a10aeab6d5_first30,right,minimum,True,0,0,16,0.0,0.0,0.0
R3-02,jiufu_7cb985938d0a6a_first30,left,maximum,True,4,7,9,0.36363636363636365,0.3076923076923077,0.3333333333333333
R3-02,jiufu_7cb985938d0a6a_first30,left,minimum,True,1,9,12,0.1,0.07692307692307693,0.08695652173913043
R3-02,jiufu_7cb985938d0a6a_first30,right,maximum,True,5,6,8,0.45454545454545453,0.38461538461538464,0.4166666666666667
R3-02,jiufu_7cb985938d0a6a_first30,right,minimum,True,0,11,13,0.0,0.0,0.0
R3-03,jiufu_2aaced556ff39d_first30,left,maximum,True,1,4,8,0.2,0.1111111111111111,0.14285714285714285
R3-03,jiufu_2aaced556ff39d_first30,left,minimum,True,0,1,9,0.0,0.0,0.0
R3-03,jiufu_2aaced556ff39d_first30,right,maximum,True,2,2,7,0.5,0.2222222222222222,0.3076923076923077
R3-03,jiufu_2aaced556ff39d_first30,right,minimum,True,0,2,9,0.0,0.0,0.0
R3-05,jiufu_0d1522aef374ec_first30,left,maximum,True,4,1,11,0.8,0.26666666666666666,0.4
R3-05,jiufu_0d1522aef374ec_first30,left,minimum,True,0,7,15,0.0,0.0,0.0
R3-05,jiufu_0d1522aef374ec_first30,right,maximum,True,9,3,6,0.75,0.6,0.6666666666666666
R3-05,jiufu_0d1522aef374ec_first30,right,minimum,True,0,9,15,0.0,0.0,0.0
R3-06,jiufu_6328167f32f25e_first30,left,maximum,False,5,3,7,0.625,0.4166666666666667,0.5
R3-06,jiufu_6328167f32f25e_first30,left,minimum,False,1,6,11,0.14285714285714285,0.08333333333333333,0.10526315789473684
R3-06,jiufu_6328167f32f25e_first30,right,maximum,False,4,5,8,0.4444444444444444,0.3333333333333333,0.38095238095238093
R3-06,jiufu_6328167f32f25e_first30,right,minimum,False,1,8,11,0.1111111111111111,0.08333333333333333,0.09523809523809523
R3-09,jiufu_440a29cebcae1c_first30,left,maximum,True,3,5,9,0.375,0.25,0.3
R3-09,jiufu_440a29cebcae1c_first30,left,minimum,True,1,7,11,0.125,0.08333333333333333,0.1
R3-09,jiufu_440a29cebcae1c_first30,right,maximum,True,2,4,10,0.3333333333333333,0.16666666666666666,0.2222222222222222
R3-09,jiufu_440a29cebcae1c_first30,right,minimum,True,1,7,11,0.125,0.08333333333333333,0.1
R3-10,jiufu_f920435ef76ec4_first30,left,maximum,True,2,0,8,1.0,0.2,0.3333333333333333
R3-10,jiufu_f920435ef76ec4_first30,left,minimum,True,0,0,10,0.0,0.0,0.0
R3-10,jiufu_f920435ef76ec4_first30,right,maximum,True,2,1,8,0.6666666666666666,0.2,0.3076923076923077
R3-10,jiufu_f920435ef76ec4_first30,right,minimum,True,0,2,10,0.0,0.0,0.0
R3-14,jiufu_4f7144680fca9d_first30,left,maximum,True,15,8,7,0.6521739130434783,0.6818181818181818,0.6666666666666666
R3-14,jiufu_4f7144680fca9d_first30,left,minimum,True,9,13,13,0.4090909090909091,0.4090909090909091,0.4090909090909091
R3-14,jiufu_4f7144680fca9d_first30,right,maximum,True,9,5,13,0.6428571428571429,0.4090909090909091,0.5
R3-14,jiufu_4f7144680fca9d_first30,right,minimum,True,9,5,13,0.6428571428571429,0.4090909090909091,0.5
R3-22,jiufu_bd77cfa7950eaa_first30,left,maximum,False,5,7,9,0.4166666666666667,0.35714285714285715,0.38461538461538464
R3-22,jiufu_bd77cfa7950eaa_first30,left,minimum,False,1,7,13,0.125,0.07142857142857142,0.09090909090909091
R3-22,jiufu_bd77cfa7950eaa_first30,right,maximum,False,6,5,8,0.5454545454545454,0.42857142857142855,0.48
R3-22,jiufu_bd77cfa7950eaa_first30,right,minimum,False,1,8,13,0.1111111111111111,0.07142857142857142,0.08695652173913043
R3-23,jiufu_cc60214ff2d564_first30,left,maximum,True,3,3,7,0.5,0.3,0.375
R3-23,jiufu_cc60214ff2d564_first30,left,minimum,True,0,5,10,0.0,0.0,0.0
R3-23,jiufu_cc60214ff2d564_first30,right,maximum,True,4,1,6,0.8,0.4,0.5333333333333333
R3-23,jiufu_cc60214ff2d564_first30,right,minimum,True,1,3,9,0.25,0.1,0.14285714285714285
R3-24,jiufu_55441b4c6fe974_first30,left,maximum,True,5,6,5,0.45454545454545453,0.5,0.47619047619047616
R3-24,jiufu_55441b4c6fe974_first30,left,minimum,True,1,8,9,0.1111111111111111,0.1,0.10526315789473684
R3-24,jiufu_55441b4c6fe974_first30,right,maximum,True,5,3,5,0.625,0.5,0.5555555555555556
R3-24,jiufu_55441b4c6fe974_first30,right,minimum,True,1,9,9,0.1,0.1,0.1
